State,ProjectType,ReportingPeriod,FundingAmount
16,5,2014,19999.98
16,20,2014,8485.29
16,27,2014,8483.49
16,5,2014,8455.64
16,10,2014,20000.0
16,5,2014,8485.29
16,8,2014,20000.0
16,5,2014,8485.29
16,22,2014,7959.25
16,5,2014,8485.08
16,5,2014,8485.29
16,10,2014,18965.0
16,22,2014,8465.13
16,10,2014,16532.85
16,22,2014,8434.16
16,30,2014,7452.83
16,5,2014,8408.42
16,5,2014,8485.29
16,22,2014,8485.28
16,5,2014,20000.0
16,30,2014,8484.83
16,5,2014,8485.29
16,5,2014,8436.6
16,22,2014,8307.13
16,27,2014,19999.8
16,22,2014,8453.89
16,10,2014,8485.29
16,10,2014,8485.29
16,5,2014,8484.48
16,5,2014,8485.29
16,5,2014,8474.71
16,5,2014,8485.0
16,22,2014,8484.0
16,5,2014,20000.0
16,22,2014,8485.29
16,5,2014,6923.22
17,4,2014,2445715.6
17,4,2014,2204571.0
18,4,2014,1496054.0
18,4,2014,3027423.0
19,9,2014,5508376.0
20,6,2014,13677.0
20,10,2014,18688.0
20,6,2014,28072.0
20,0,2014,8351.81
20,1,2014,1500.0
20,2,2014,20230.86
20,6,2014,9367.0
20,4,2014,27792.0
20,0,2014,30016.0
20,5,2014,8800.0
20,10,2014,5608.0
20,22,2014,14595.04
20,0,2014,26711.0
20,4,2014,38947.0
20,4,2014,55398.0
20,4,2014,50483.0
20,0,2014,26208.0
20,6,2014,25815.0
20,4,2014,18731.56
20,6,2014,7509.44
20,4,2014,27050.0
20,0,2014,876.47
20,6,2014,16521.09
20,10,2014,4560.44
20,30,2014,3156.91
20,4,2014,28178.0
20,0,2014,77479.0
20,4,2014,25925.0
20,33,2014,27414.98
20,6,2014,29051.99
20,0,2014,27476.0
20,4,2014,26979.72
20,22,2014,33732.0
20,4,2014,7325.0
20,4,2014,2653.17
20,5,2014,12978.0
20,0,2014,26940.0
20,0,2014,20913.32
20,1,2014,1971.0
20,4,2014,1999.4
20,22,2014,2003.76
20,28,2014,140.0
20,5,2014,1021.7
20,5,2014,41907.8
20,10,2014,1346.43
20,10,2014,28547.0
20,10,2014,3748.0
20,4,2014,51417.0
20,22,2014,36483.0
20,0,2014,24533.47
20,4,2014,2241.53
20,4,2014,33072.0
20,4,2014,41097.33
20,0,2014,275696.36
20,1,2014,4916.5
20,1,2014,64876.91
20,1,2014,24133.18
20,1,2014,4770.96
20,1,2014,2559720.47
20,2,2014,14985.0
20,5,2014,22246.74
20,7,2014,122411.0
20,18,2014,195650.19
20,22,2014,2846.98
20,22,2014,48783.78
20,22,2014,8462.39
20,22,2014,2950.47
20,27,2014,140574.02
20,31,2014,28957.7
20,29,2014,1989.77
20,4,2014,26440.68
20,5,2014,28336.0
20,0,2014,29717.0
20,0,2014,400.0
20,6,2014,65993.0
20,0,2014,43327.0
20,0,2014,27747.0
20,4,2014,27718.99
20,4,2014,36552.08
20,4,2014,20400.0
20,4,2014,14478.74
20,5,2014,7044.0
20,10,2014,5650.01
20,10,2014,298.23
20,0,2014,27889.0
20,1,2014,31779.29
20,0,2014,31293.0
20,10,2014,26326.49
20,9,2014,26921.8
20,22,2014,30475.0
20,4,2014,37440.13
20,1,2014,31219.0
20,2,2014,25575.3
20,22,2014,52867.0
20,4,2014,39438.0
20,0,2014,25226.0
20,22,2014,40836.0
20,0,2014,27709.0
20,22,2014,31914.0
20,0,2014,20615.69
20,5,2014,5305.0
20,5,2014,3100.0
20,30,2014,1064.0
20,22,2014,730.93
20,23,2014,388.0
20,5,2014,33124.0
20,4,2014,32413.0
20,5,2014,20959.6
20,6,2014,6876.4
20,4,2014,26384.0
20,22,2014,26863.0
20,4,2014,29326.0
21,0,2014,3496385.0
22,5,2014,83588.0
22,0,2014,3601.0
22,0,2014,41000.0
22,6,2014,1000.0
22,23,2014,28750.0
22,4,2014,80736.0
22,4,2014,43974.8
22,4,2014,7100.0
22,23,2014,70000.0
22,23,2014,125.2
22,4,2014,235891.0
22,4,2014,238873.71
22,4,2014,87397.0
22,6,2014,71864.0
22,4,2014,109270.0
22,9,2014,1000.0
22,22,2014,90848.0
22,10,2014,103527.0
22,4,2014,71228.96
22,10,2014,1510.04
22,18,2014,28431.12
22,22,2014,99322.88
22,4,2014,71036.0
22,5,2014,130946.0
22,4,2014,18450.94
22,10,2014,1873.26
22,22,2014,122412.8
22,4,2014,68273.0
22,10,2014,3298065.68
22,4,2014,333770.0
22,4,2014,83349.46
